concept,layer,drift
energy,0,-1.1920928955078125e-07
energy,1,0.00430375337600708
energy,2,0.007463693618774414
energy,3,0.007471859455108643
energy,4,0.00936979055404663
energy,5,0.013478457927703857
energy,6,0.0028887391090393066
security,0,5.960464477539063e-08
security,1,0.0034480690956115723
security,2,0.007087886333465576
security,3,0.007020115852355957
security,4,0.009416580200195312
security,5,0.01467353105545044
security,6,0.003568887710571289
trade,0,5.960464477539063e-08
trade,1,0.004294037818908691
trade,2,0.008127093315124512
trade,3,0.0077547430992126465
trade,4,0.009201526641845703
trade,5,0.013826489448547363
trade,6,0.003737151622772217
industry,0,5.960464477539063e-08
industry,1,0.003953695297241211
industry,2,0.0025368928909301758
industry,3,0.0029207468032836914
industry,4,0.004824638366699219
industry,5,0.010983705520629883
industry,6,0.003664255142211914
technology,0,0.0
technology,1,0.0034244656562805176
technology,2,0.005876362323760986
technology,3,0.005972087383270264
technology,4,0.008462846279144287
technology,5,0.01462012529373169
technology,6,0.0038686394691467285
investment,0,0.0
investment,1,0.003961145877838135
investment,2,0.008709609508514404
investment,3,0.008769512176513672
investment,4,0.011689901351928711
investment,5,0.017373740673065186
investment,6,0.0033959150314331055
growth,0,0.0
growth,1,0.004370450973510742
growth,2,0.007308542728424072
growth,3,0.007181346416473389
growth,4,0.010535597801208496
growth,5,0.017240047454833984
growth,6,0.005753695964813232
defense,0,5.960464477539063e-08
defense,1,0.004230856895446777
defense,2,0.00775146484375
defense,3,0.007490277290344238
defense,4,0.009022176265716553
defense,5,0.01261216402053833
defense,6,0.003168344497680664
