concept,layer,drift
time,0,5.960464477539063e-08
time,1,0.008260965347290039
time,2,0.016339480876922607
time,3,0.01832062005996704
time,4,0.02411973476409912
time,5,0.03399336338043213
time,6,0.0028597116470336914
space,0,0.0
space,1,0.008558273315429688
space,2,0.00493234395980835
space,3,0.005751907825469971
space,4,0.00908738374710083
space,5,0.01689779758453369
space,6,0.0028443336486816406
matter,0,0.0
matter,1,0.011454939842224121
matter,2,0.024892210960388184
matter,3,0.028414368629455566
matter,4,0.03732466697692871
matter,5,0.040297865867614746
matter,6,0.0036674141883850098
mind,0,0.0
mind,1,0.011172711849212646
mind,2,0.021269679069519043
mind,3,0.026921451091766357
mind,4,0.03736543655395508
mind,5,0.04401272535324097
mind,6,0.003028273582458496
method,0,0.0
method,1,0.009441852569580078
method,2,0.025703012943267822
method,3,0.028192758560180664
method,4,0.03523516654968262
method,5,0.04689991474151611
method,6,0.004808664321899414
truth,0,0.0
truth,1,0.01260608434677124
truth,2,0.0254056453704834
truth,3,0.035186827182769775
truth,4,0.05156320333480835
truth,5,0.056759774684906006
truth,6,0.005199909210205078
force,0,5.960464477539063e-08
force,1,0.009637713432312012
force,2,0.021228015422821045
force,3,0.024294734001159668
force,4,0.03212082386016846
force,5,0.0342525839805603
force,6,0.001737058162689209
system,0,5.960464477539063e-08
system,1,0.006812393665313721
system,2,0.019799113273620605
system,3,0.023577749729156494
system,4,0.028920471668243408
system,5,0.04094111919403076
system,6,0.0031305551528930664
