concept,layer,drift
energy,0,-1.1920928955078125e-07
energy,1,0.003962993621826172
energy,2,0.007252097129821777
energy,3,0.007481038570404053
energy,4,0.009492695331573486
energy,5,0.013062477111816406
energy,6,0.0034331083297729492
security,0,5.960464477539063e-08
security,1,0.003465116024017334
security,2,0.006698429584503174
security,3,0.006729543209075928
security,4,0.008834242820739746
security,5,0.014755725860595703
security,6,0.004538893699645996
trade,0,5.960464477539063e-08
trade,1,0.0037911534309387207
trade,2,0.008416712284088135
trade,3,0.008165955543518066
trade,4,0.009105205535888672
trade,5,0.013113677501678467
trade,6,0.004204154014587402
industry,0,5.960464477539063e-08
industry,1,0.003259122371673584
industry,2,0.0023818016052246094
industry,3,0.0027734041213989258
industry,4,0.004635214805603027
industry,5,0.010625779628753662
industry,6,0.005133271217346191
technology,0,0.0
technology,1,0.0031697750091552734
technology,2,0.005231082439422607
technology,3,0.005915343761444092
technology,4,0.008745014667510986
technology,5,0.01422584056854248
technology,6,0.005378246307373047
investment,0,0.0
investment,1,0.003255307674407959
investment,2,0.007789552211761475
investment,3,0.008289813995361328
investment,4,0.01140373945236206
investment,5,0.01635056734085083
investment,6,0.0035726428031921387
growth,0,0.0
growth,1,0.0037469863891601562
growth,2,0.006495416164398193
growth,3,0.0066623687744140625
growth,4,0.009418249130249023
growth,5,0.016239464282989502
growth,6,0.006945133209228516
defense,0,5.960464477539063e-08
defense,1,0.003941655158996582
defense,2,0.007008850574493408
defense,3,0.006947636604309082
defense,4,0.008530676364898682
defense,5,0.012718915939331055
defense,6,0.003950536251068115
