concept,layer,drift
machine,0,0.0
machine,1,0.006931900978088379
machine,2,0.012301623821258545
machine,3,0.014516115188598633
machine,4,0.019760310649871826
machine,5,0.027642488479614258
machine,6,0.005305290222167969
power,0,5.960464477539063e-08
power,1,0.007924079895019531
power,2,0.013538002967834473
power,3,0.013521313667297363
power,4,0.021290719509124756
power,5,0.03269690275192261
power,6,0.0049773454666137695
flight,0,-1.1920928955078125e-07
flight,1,0.008824050426483154
flight,2,0.017306268215179443
flight,3,0.017360389232635498
flight,4,0.020814478397369385
flight,5,0.0329974889755249
flight,6,0.004662990570068359
weapon,0,0.0
weapon,1,0.00648343563079834
weapon,2,0.011304378509521484
weapon,3,0.013182759284973145
weapon,4,0.019036948680877686
weapon,5,0.03627580404281616
weapon,6,0.006134986877441406
energy,0,5.960464477539063e-08
energy,1,0.007357478141784668
energy,2,0.01692301034927368
energy,3,0.017952442169189453
energy,4,0.02478724718093872
energy,5,0.0327831506729126
energy,6,0.006180167198181152
vision,0,0.0
vision,1,0.009255647659301758
vision,2,0.01701509952545166
vision,3,0.019317328929901123
vision,4,0.025166809558868408
vision,5,0.04549980163574219
vision,6,0.005452871322631836
future,0,-1.1920928955078125e-07
future,1,0.005451083183288574
future,2,0.013381898403167725
future,3,0.013565659523010254
future,4,0.019650757312774658
future,5,0.0285605788230896
future,6,0.005202770233154297
science,0,5.960464477539063e-08
science,1,0.006444811820983887
science,2,0.013444364070892334
science,3,0.01453322172164917
science,4,0.01787036657333374
science,5,0.030606746673583984
science,6,0.009444594383239746
