concept,layer,drift
time,0,5.960464477539063e-08
time,1,0.011051058769226074
time,2,0.022732257843017578
time,3,0.026623070240020752
time,4,0.034675002098083496
time,5,0.04484903812408447
time,6,0.0036359429359436035
space,0,0.0
space,1,0.011708378791809082
space,2,0.00674891471862793
space,3,0.008147358894348145
space,4,0.012127876281738281
space,5,0.0209885835647583
space,6,0.003689706325531006
matter,0,0.0
matter,1,0.015108048915863037
matter,2,0.03249669075012207
matter,3,0.039165496826171875
matter,4,0.052894771099090576
matter,5,0.05467444658279419
matter,6,0.004313409328460693
mind,0,0.0
mind,1,0.015072166919708252
mind,2,0.029556214809417725
mind,3,0.037767112255096436
mind,4,0.052478909492492676
mind,5,0.056938886642456055
mind,6,0.003302335739135742
method,0,0.0
method,1,0.012521028518676758
method,2,0.034809648990631104
method,3,0.03862893581390381
method,4,0.046816349029541016
method,5,0.059151411056518555
method,6,0.005236923694610596
truth,0,0.0
truth,1,0.015694737434387207
truth,2,0.033603131771087646
truth,3,0.04540020227432251
truth,4,0.06710809469223022
truth,5,0.07339328527450562
truth,6,0.006894946098327637
force,0,5.960464477539063e-08
force,1,0.013096094131469727
force,2,0.03016984462738037
force,3,0.033280253410339355
force,4,0.04587674140930176
force,5,0.04516494274139404
force,6,0.0023685097694396973
system,0,5.960464477539063e-08
system,1,0.008897006511688232
system,2,0.0256727933883667
system,3,0.03169143199920654
system,4,0.038768768310546875
system,5,0.05135732889175415
system,6,0.0036763548851013184
